City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
580,Makakilo City,US,83.95,overcast clouds,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
598,Liuli,TZ,75.06,light rain,-11.0833,34.6333,No hotel found
600,Tabuk,PH,78.96,overcast clouds,17.4189,121.4443,Davidson Hotel
601,Buchanan,LR,78.03,overcast clouds,5.8808,-10.0467,Phillipmena's Guesthouse
608,Alice Springs,AU,81.95,clear sky,-23.7,133.8833,Aurora Alice Springs
610,Katobu,ID,81.18,overcast clouds,-4.9408,122.5276,No hotel found
617,Labuhan,ID,81.12,few clouds,-6.8844,112.2051,No hotel found
619,Burdeos,PH,79.83,overcast clouds,14.8436,121.9697,No hotel found
636,Abonnema,NG,79.09,moderate rain,4.7084,6.7931,No hotel found
640,Hobyo,SO,78.57,overcast clouds,5.3505,48.5268,No hotel found
641,Porto Novo,BJ,82.22,broken clouds,6.4965,2.6036,Hôtel 6500 CFA
643,Kanniyakumari,IN,77.14,overcast clouds,8.0833,77.5667,The Seashore Hotel
645,Livramento,BR,84.87,clear sky,-3.0254,-60.1803,No hotel found
651,Santa Marta,CO,82.45,few clouds,11.2408,-74.199,Casa Mita
655,Maragogi,BR,76.75,overcast clouds,-9.0122,-35.2225,Pousada Mariluz
657,Mahibadhoo,MV,80.67,few clouds,3.7833,72.9667,Coral View Inn
659,Bubaque,GW,81.82,few clouds,11.2833,-15.8333,Chez Julio
662,Kinablangan,PH,78.67,overcast clouds,7.6947,126.5503,No hotel found
677,Dicabisagan,PH,79.74,overcast clouds,17.0818,122.4157,No hotel found
685,Puebloviejo,CO,82.58,clear sky,10.9938,-74.2844,No hotel found
692,Porto Murtinho,BR,80.29,scattered clouds,-21.6989,-57.8825,Hotel Saladero Cuê
697,Port Augusta,AU,78.6,clear sky,-32.5,137.7667,Hotel Commonwealth
707,Nha Trang,VN,84.2,overcast clouds,12.25,109.1833,Den Long Đỗ
