City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
423,Port Lincoln,AU,-34.7333,135.8667,64.17,65,4,11.97,clear sky
424,Niamey,NE,13.5137,2.1098,73.69,25,0,2.3,clear sky
425,Salta,AR,-24.7859,-65.4117,63.57,91,99,5.01,overcast clouds
426,Salisbury,GB,51.0693,-1.7957,40.44,99,100,3.44,fog
427,Anadyr,RU,64.75,177.4833,32.5,80,100,29.08,overcast clouds
428,Muros,ES,42.7762,-9.0603,47.84,91,6,6.6,clear sky
429,Moussoro,TD,13.6408,16.4901,71.44,19,32,9.13,scattered clouds
430,Umm Lajj,SA,25.0213,37.2685,74.86,49,78,9.93,broken clouds
431,Kilcullen,IE,53.1303,-6.7444,49.75,88,100,8.86,overcast clouds
432,Langsa,ID,4.4683,97.9683,75.45,92,100,3.4,moderate rain
433,Lata,PT,40.1629,-8.3327,51.08,93,100,4.12,overcast clouds
434,Magaria,NE,12.9983,8.9099,64.26,28,4,8.7,clear sky
435,Pauini,BR,-7.7136,-66.9764,79.16,77,97,3.51,overcast clouds
436,Mamakan,RU,57.8161,114.0028,-1.7,87,100,8.61,overcast clouds
437,Batemans Bay,AU,-35.7167,150.1833,65.1,60,77,4.97,broken clouds
438,Cacule,BR,-14.5033,-42.2222,69.28,85,100,1.7,light rain
439,Paita,PE,-5.0892,-81.1144,67.32,84,93,10.25,overcast clouds
440,Klaksvik,FO,62.2266,-6.589,49.12,97,100,32.14,moderate rain
441,Arona,ES,28.0996,-16.681,63.12,73,75,9.22,broken clouds
442,Cap Malheureux,MU,-19.9842,57.6142,72.46,75,59,3.0,broken clouds
443,Vestmannaeyjar,IS,63.4427,-20.2734,45.7,74,99,26.6,overcast clouds
444,Sorong,ID,-0.8833,131.25,78.67,86,100,6.46,overcast clouds
445,Sakakah,SA,29.9697,40.2064,53.17,68,0,2.98,clear sky
446,Baghdad,IQ,33.3406,44.4009,55.31,100,0,2.3,clear sky
447,Calvinia,ZA,-31.4707,19.776,65.71,38,4,4.79,clear sky
448,Bonthe,SL,7.5264,-12.505,78.57,82,58,4.88,light rain
449,Sharlyk,RU,52.9167,54.75,-1.01,98,19,5.37,few clouds
450,Myaundzha,RU,63.0494,147.1858,-13.49,97,100,3.6,overcast clouds
451,Moron,AR,-34.6534,-58.6198,71.46,82,75,11.5,broken clouds
452,Nelson Bay,AU,-32.7167,152.15,71.1,72,100,11.01,overcast clouds
453,Necochea,AR,-38.5473,-58.7368,57.96,87,100,14.29,light rain
454,Avera,US,33.194,-82.5271,56.71,56,0,13.62,clear sky
455,Mahebourg,MU,-20.4081,57.7,72.25,94,75,3.44,broken clouds
456,Biltine,TD,14.5333,20.9167,72.77,22,5,10.51,clear sky
457,Maralal,KE,1.0968,36.698,57.88,74,71,7.05,broken clouds
458,Bukene,TZ,-4.2333,32.8833,65.93,89,100,3.76,light rain
459,Dispur,IN,26.1425,91.7889,62.55,84,2,2.86,clear sky
460,San Ignacio,BZ,17.1561,-89.0714,73.54,94,0,4.61,clear sky
461,Tucumcari,US,35.1717,-103.725,39.04,48,0,12.66,clear sky
462,Pordim,BG,43.3833,24.85,32.76,74,100,10.94,overcast clouds
463,Mondovi,IT,44.396,7.8176,43.75,88,32,2.86,scattered clouds
464,Carauari,BR,-4.8828,-66.8958,80.31,77,100,1.54,overcast clouds
465,Bageshwar,IN,29.85,79.7667,49.42,49,0,3.11,clear sky
466,George,ZA,-33.963,22.4617,62.15,94,100,2.3,overcast clouds
467,Tesalia,CO,2.4859,-75.7292,68.92,95,74,2.89,broken clouds
468,Cibitoke,BI,-2.8833,29.25,60.75,92,100,4.07,overcast clouds
469,Kotovo,RU,50.3211,44.8012,20.39,80,8,7.52,clear sky
470,Ketchikan,US,55.3422,-131.6461,25.27,39,0,12.66,clear sky
471,Miles City,US,46.4083,-105.8406,27.57,50,0,13.8,clear sky
472,Ambilobe,MG,-13.2,49.05,74.86,86,78,0.92,broken clouds
